id,seed,domain,syntactic_type,register,lexical_complexity,utterance_length,notes,speech_phenomena
33,play something uh relaxing,media,imperative,colloquial,simple,short,filled pause mid-utterance interrupting adjective position,filled_pause
34,skip this song,media,imperative,colloquial,simple,short,,
35,turn it up,media,imperative,colloquial,referential_complexity; phrasal_verb,short,referential — 'it' requires context,
36,can you put on some jazz,media,polar_question,neutral,simple,short,,
37,i want to watch something funny tonight,media,indirect_request,colloquial,temporal_reference; simple,medium,,
38,pause the show and turn off the tv when you're done,media,imperative,neutral,multi_intent; phrasal_verb,medium,multi-intent,
39,what's playing right now,media,wh_question,colloquial,simple,short,,
40,don't play anything with explicit lyrics,media,imperative,neutral,negation; low_freq_vocab,short,negation,
41,i've been wanting to listen to that new kendrick album,media,embedded_declarative,colloquial,named_entity; syntactic_embedding,medium,,
42,play the playlist i was listening to yesterday,media,imperative,neutral,temporal_reference; referential_complexity,medium,,
43,can you add can you put milk on my shopping list,shopping,imperative,neutral,simple,medium,false start with structural shift,false_start
44,where where is my order,shopping,wh_question,colloquial,simple,short,repetition on wh-word,repetition
45,i need to return the shoes i bought last week,shopping,indirect_request,neutral,temporal_reference,medium,,
46,how much is the jacket i saved,shopping,wh_question,colloquial,referential_complexity,short,,
47,order more coffee pods when i'm running low,shopping,imperative,neutral,temporal_reference; conditional,medium,,
48,i'd like to cancel my subscription,shopping,indirect_request,formal,morphological_complexity,short,,
49,don't let me forget to use my coupon before it expires,shopping,imperative,colloquial,negation; temporal_reference,medium,negation,
50,find me the best deal on wireless headphones,shopping,imperative,neutral,simple,short,,
51,add everything on my wishlist to the cart,shopping,imperative,colloquial,referential_complexity,short,,
52,take me to the nearest coffee shop no wait the nearest pharmacy,navigation,imperative,neutral,simple,medium,destination repair — common in navigation contexts,self_correction
53,how long will it take to get home,navigation,wh_question,colloquial,temporal_reference,short,,
54,avoid the highway,navigation,imperative,neutral,simple,short,,
55,find me a gas station on the way,navigation,imperative,colloquial,simple,short,,
56,i need directions to the nearest hospital,navigation,indirect_request,neutral,simple,short,,
57,what's the fastest route to jfk right now,navigation,wh_question,colloquial,named_entity; temporal_reference,short,,
58,take me home but stop at the pharmacy first,navigation,imperative,colloquial,multi_intent; temporal_reference,medium,multi-intent,
59,is there a lot of traffic on the bridge,navigation,polar_question,colloquial,named_entity,short,,
60,what's the what's the weather tomorrow,weather_info,wh_question,colloquial,temporal_reference,short,false start on wh-phrase,false_start
61,will it rain this weekend,weather_info,polar_question,neutral,temporal_reference,short,,
62,how hot is it going to get today,weather_info,wh_question,colloquial,temporal_reference,short,,
63,what's the capital of australia,weather_info,wh_question,neutral,named_entity,short,,
64,how far is the moon from earth,weather_info,wh_question,neutral,simple,short,,
65,do i need an umbrella today,weather_info,polar_question,colloquial,temporal_reference; pragmatic_indirect,short,pragmatic — implies weather lookup,
66,what time does the sun set tonight,weather_info,wh_question,neutral,temporal_reference,short,,
67,is it going to be cold enough for a jacket this week,weather_info,polar_question,colloquial,temporal_reference; pragmatic_indirect,medium,pragmatic — implies temperature threshold judgment,
68,log my water intake,health,imperative,neutral,low_freq_vocab,short,,
69,how many calories are in an avocado,health,wh_question,neutral,named_entity,short,,
70,i need to book a doctor's appointment,health,indirect_request,neutral,morphological_complexity,short,,
71,remind me to take my vitamins after breakfast,health,imperative,neutral,temporal_reference,medium,,
72,track my run,health,imperative,colloquial,simple,short,,
73,how many steps have i taken today,health,wh_question,colloquial,temporal_reference,short,,
74,i don't want to count calories anymore,health,declarative,colloquial,negation,short,negation,
75,what's a good stretch for lower back pain,health,wh_question,neutral,low_freq_vocab,short,,
76,what's my account balance,finance,wh_question,neutral,simple,short,,
77,transfer twenty dollars to savings,finance,imperative,neutral,simple,short,,
78,did my paycheck come in,finance,polar_question,colloquial,simple,short,,
79,i need to dispute a charge on my card,finance,indirect_request,neutral,low_freq_vocab,medium,,
80,how much did i spend last month,finance,wh_question,colloquial,temporal_reference,short,,
81,don't let any charges go through over a hundred dollars without my approval,finance,imperative,neutral,negation; conditional; syntactic_embedding,long,negation,
82,can you show me my transactions from this week,finance,polar_question,neutral,temporal_reference,short,,
83,book me a flight to chicago next friday,travel,imperative,neutral,named_entity; temporal_reference,medium,,
84,what time does the last train leave,travel,wh_question,neutral,temporal_reference,short,,
85,i need a hotel near the conference center,travel,indirect_request,neutral,named_entity,short,,
86,is my flight on time,travel,polar_question,colloquial,simple,short,,
87,find me the cheapest way to get to boston,travel,imperative,colloquial,named_entity,short,,
88,i was hoping to get an aisle seat if possible,travel,embedded_declarative,formal,syntactic_embedding; low_freq_vocab,medium,,
89,check in for my flight and send me the boarding pass,travel,imperative,neutral,multi_intent,medium,multi-intent,
90,i need to speak to someone,contact_center,indirect_request,neutral,simple,short,,
91,i want to cancel my account,contact_center,indirect_request,neutral,simple,short,,
92,my order hasn't arrived,contact_center,declarative,neutral,negation,short,negation,
93,can i get a refund,contact_center,polar_question,neutral,simple,short,,
94,i've been waiting for three weeks and nobody has helped me,contact_center,declarative,colloquial,temporal_reference; syntactic_embedding,medium,expresses frustration; pragmatically implies escalation request,
95,what is your return policy,contact_center,wh_question,formal,low_freq_vocab,short,,
96,how many oscars does meryl streep have,entertainment_trivia,wh_question,neutral,named_entity,short,presuppositional — assumes system knows biographical facts,
97,is robin williams still alive,entertainment_trivia,polar_question,neutral,named_entity,short,presuppositional — tests handling of deceased public figures,
98,what is the best movie of all time,entertainment_trivia,wh_question,colloquial,simple; pragmatic_indirect,short,subjective query — no single correct answer,
99,who directed the godfather,entertainment_trivia,wh_question,neutral,named_entity,short,,
100,what year did titanic come out,entertainment_trivia,wh_question,colloquial,named_entity; temporal_reference,short,,
101,send a message to my team letting them know the deadline has moved to next friday,communication,imperative,formal,named_entity; temporal_reference; syntactic_embedding; multi_intent,long,,
102,reply to the last email from sarah and tell her i can meet tuesday morning instead of monday,communication,imperative,neutral,named_entity; temporal_reference; multi_intent,long,multi-intent with temporal replacement,
103,i've been meaning to send a thank you note to mark for helping me move last weekend,communication,embedded_declarative,colloquial,named_entity; temporal_reference; syntactic_embedding,long,,
104,can you forward the email from the lawyer to my accountant with a note explaining the timeline,communication,polar_question,formal,named_entity; low_freq_vocab; multi_intent,long,,
105,block off every tuesday afternoon for the next month so i can focus on the project,calendar,imperative,neutral,temporal_reference; syntactic_embedding,long,,
106,remind me to wait a second remind me to pick up the prescription before the pharmacy closes at six,calendar,imperative,colloquial,temporal_reference; low_freq_vocab,long,false start with self-repair,false_start
107,if i'm still in the meeting at four please push my next appointment back by thirty minutes,calendar,imperative,formal,temporal_reference; conditional,long,conditional scheduling,
108,i was hoping you could find a time next week when sarah and i are both free for an hour,calendar,embedded_declarative,formal,named_entity; temporal_reference; syntactic_embedding,long,,
109,when i say good night turn off all the lights lock the front door and set the alarm,smart_home,imperative,neutral,phrasal_verb; multi_intent; conditional,long,multi-intent routine trigger,
110,make sure the thermostat doesn't drop below sixty five overnight because my pipes might freeze,smart_home,imperative,neutral,negation; temporal_reference; named_entity; syntactic_embedding,long,reason-framed negative imperative,
111,can you um turn off the lights in the living room but leave the hallway light on,smart_home,polar_question,colloquial,phrasal_verb; multi_intent; negation,long,filled pause at clause boundary before content verb,filled_pause
112,find the fastest route home but avoid the tunnel and stop by a grocery store on the way,navigation,imperative,neutral,multi_intent; negation; named_entity,long,multi-constraint route planning,
113,how long will it take to drive to boston if i leave around three in the afternoon,navigation,wh_question,neutral,named_entity; temporal_reference; conditional,long,,
114,take me to the airport but first let's stop at the bank and then grab some coffee,navigation,imperative,colloquial,named_entity; multi_intent; temporal_reference,long,sequenced multi-stop; addressee shift is natural in colloquial register,
115,order more of that coffee i usually get but only if it's still under fifteen dollars a bag,shopping,imperative,colloquial,conditional; referential_complexity,long,"conditional on price, referential on product",
116,i need to return the jacket i ordered last week because it doesn't fit and get a smaller size,shopping,indirect_request,neutral,temporal_reference; negation; multi_intent; syntactic_embedding,long,indirect request with reason and follow-up,
117,can you find me a birthday gift for my mom under fifty dollars that isn't jewelry or flowers,shopping,polar_question,colloquial,negation; syntactic_embedding,long,,
