variant_id,seed,variant,strategy,existing_similarity,existing_perplexity,predicted_equivalence,predicted_naturalness,source,notes
18,turn off the lights,please go off the lights,constrained:polite_imperative,,,3,2,constructed_failure,constrained transform produces broken output
19,dim the lights,brighten the lights,mlm_substitution,,,2,5,constructed_canonical,opposite action via single word swap
20,how many calories in an avocado,how many calories are in an avocado,llm_paraphrase,,,5,5,constructed_canonical,grammatical correction — fully equivalent
21,if i'm still in the meeting at four please push my next appointment back by thirty minutes,if the meeting goes past four please make sure to postpone my next appointment by thirty minutes,llm_paraphrase,0.9072,159.56,4,5,aggregate_sampled,"high/high baseline — llm_paraphrase, top-quartile similarity (0.91)"
22,what's the fastest route to jfk right now,can you help me find the fastest route to jfk right now,llm_paraphrase,0.9540,78.17,5,5,aggregate_sampled,"high/high baseline — llm_paraphrase, top-quartile similarity (0.95)"
23,i need to return the shoes i bought last week,i need to return the shoes i picked up last week,llm_paraphrase,0.9684,128.88,4,5,aggregate_sampled,"high/high baseline — llm_paraphrase, top-quartile similarity (0.97)"
24,remind me to take my vitamins after breakfast,i want to be reminded to take my vitamins after breakfast,constrained:indirect_need,0.9457,134.03,5,5,aggregate_sampled,"high/high baseline — constrained:indirect_need, top-quartile similarity (0.95)"
25,take me home but stop at the pharmacy first,go ahead and take me home but stop at the pharmacy first,constrained:polite_imperative,0.9465,142.24,5,4,aggregate_sampled,"high/high baseline — constrained:polite_imperative, top-quartile similarity (0.95)"
26,how hot is it going to get today,if possible how hot is it going to get today,constrained:hedged_request,0.9374,97.42,5,3,aggregate_sampled,"high/high baseline — constrained:hedged_request, top-quartile similarity (0.94)"
27,send a message to everyone on the project and let them know the deadline moved,send a message to everyone on the project and let them calculate the deadline moved,mlm_substitution,0.9531,97.79,5,2,aggregate_sampled,"high/high baseline — mlm_substitution on long seed, similarity 0.95"
28,how long will it take to drive to boston if i leave around three in the afternoon,how long will it take to drive to boston if i leave around three in the day,mlm_substitution,0.9712,100.49,3,2,aggregate_sampled,"high/high baseline — mlm_substitution on long seed, similarity 0.97"
29,remind me to wait a second remind me to pick up the prescription before the pharmacy closes at six,remind me to wait a second remind me to give up the prescription before the pharmacy closes at six,mlm_substitution,0.9812,134.15,3,1,aggregate_sampled,"high/high baseline — mlm_substitution on long seed, similarity 0.98"
30,how many calories are in an avocado,what's the average calorie count for a large avocado,expansion,0.8850,78.80,5,5,aggregate_sampled,high/high baseline — expansion at top of its distribution (similarity 0.89); tests judge's handling of near-paraphrase expansion
31,don't play anything with explicit lyrics,skip the explicit tracks,expansion,0.5205,2600.98,5,5,aggregate_sampled,"expansion at p25 of distribution (similarity 0.52, target ~0.52); core test of whether judge places adjacent intents in 3-4 band"
32,is there a lot of traffic on the bridge,how long is the wait to cross the bridge,expansion,0.5210,56.72,5,4,aggregate_sampled,"expansion at p25 of distribution (similarity 0.52, target ~0.52); core test of whether judge places adjacent intents in 3-4 band"
33,block off every tuesday afternoon for the next month so i can focus on the project,lock in my availability every tuesday afternoon for the next month for intensive project work,expansion,0.6399,252.26,4,3,aggregate_sampled,"expansion at median of distribution (similarity 0.64, target ~0.64); core test of whether judge places adjacent intents in 3-4 band"
34,don't let any charges go through over a hundred dollars without my approval,approve any payments above one hundred dollars before they go through,expansion,0.6402,129.96,3,3,aggregate_sampled,"expansion at median of distribution (similarity 0.64, target ~0.64); core test of whether judge places adjacent intents in 3-4 band"
35,set an alarm for 7am actually make it 6 30,set a reminder for 6:30am,expansion,0.7498,115.15,5,5,aggregate_sampled,"expansion at p75 of distribution (similarity 0.75, target ~0.75); core test of whether judge places adjacent intents in 3-4 band"
36,how many calories are in an avocado,how do avocados compare calorie wise to other fruits,expansion,0.7504,219.36,2,4,aggregate_sampled,"expansion at p75 of distribution (similarity 0.75, target ~0.75); core test of whether judge places adjacent intents in 3-4 band"
37,move my tuesday appointment to wednesday afternoon,reschedule my tuesday appointment to thursday afternoon instead,expansion,0.8200,217.38,4,5,aggregate_sampled,"expansion at high_end of distribution (similarity 0.82, target ~0.82); core test of whether judge places adjacent intents in 3-4 band"
38,will it rain this weekend,will it be cloudy this weekend,expansion,0.8203,97.73,4,5,aggregate_sampled,"expansion at high_end of distribution (similarity 0.82, target ~0.82); core test of whether judge places adjacent intents in 3-4 band"
39,make it warmer in here,find my warm slippers,expansion,0.3847,507.38,3,5,aggregate_sampled,"low/low corner — expansion, sim=0.38 ppl=507; predict equivalence and naturalness independently — surface low/low may be only low on one dimension"
40,what's playing right now,what’s happening on screen,llm_paraphrase,0.3210,829.74,4,4,aggregate_sampled,"low/low corner — llm_paraphrase, sim=0.32 ppl=830; predict equivalence and naturalness independently — surface low/low may be only low on one dimension"
41,do i need an umbrella today,do i need an introduction today,mlm_substitution,0.3201,545.48,1,2,aggregate_sampled,"low/low corner — mlm_substitution, sim=0.32 ppl=545; predict equivalence and naturalness independently — surface low/low may be only low on one dimension"
42,turn it up,have it increased,constrained:passive_voice,0.2566,1112.05,5,2,aggregate_sampled,"low/low corner — constrained:passive_voice, sim=0.26 ppl=1112; predict equivalence and naturalness independently — surface low/low may be only low on one dimension"
43,i need to speak to someone,please connect me with the complaints department,expansion,0.2794,763.11,4,5,aggregate_sampled,"low/low corner — expansion, sim=0.28 ppl=763; predict equivalence and naturalness independently — surface low/low may be only low on one dimension"
44,how long will it take to drive to boston if i leave around three in the afternoon,can you tell me how long it will take to drive to boston if i leave around three in the afternoon,constrained:polar_question,0.9742,37.96,5,5,aggregate_sampled,constrained:polar_question applied to wh_question seed — the volume sweep showed this transform fails on already-interrogative seeds; check whether the variant is a genuine transform or off-task
45,what's the capital of australia,is the capital of australia canberra,constrained:polar_question,0.8645,158.41,5,5,aggregate_sampled,constrained:polar_question applied to wh_question seed — the volume sweep showed this transform fails on already-interrogative seeds; check whether the variant is a genuine transform or off-task
46,what time does the sun set tonight,what time's the sun set tonight,constrained:abbreviated_spoken,0.9789,154.73,5,5,aggregate_sampled,constrained:abbreviated_spoken on short seed — the volume sweep flagged 72% compliance overall and 62% on short seeds; check whether shortening was meaningful
47,find me the cheapest way to get to boston,find the cheapest way to boston,constrained:abbreviated_spoken,0.9678,375.53,5,5,aggregate_sampled,constrained:abbreviated_spoken on short seed — the volume sweep flagged 72% compliance overall and 62% on short seeds; check whether shortening was meaningful
48,where where is my order,could you let me know the status of my order,llm_paraphrase,0.5883,28.02,4,5,aggregate_sampled,"disfluent seed (repetition) — llm_paraphrase, ppl=28; tests whether perplexity pathology generalizes beyond the two pre-filled disfluent seeds"
49,set an alarm for 7am actually make it 6 30,set an alarm for 6:30am instead of 7am because i have an early meeting,constrained:reason_added,0.8383,54.14,4,5,aggregate_sampled,"disfluent seed (self_correction) — constrained:reason_added, ppl=54; tests whether perplexity pathology generalizes beyond the two pre-filled disfluent seeds"
50,can you um turn off the lights in the living room but leave the hallway light on,can you um turn off the lamp in the living room but leave the hallway light on,mlm_substitution,0.9106,84.82,4,4,aggregate_sampled,"disfluent seed (filled_pause) — mlm_substitution, ppl=85; tests whether perplexity pathology generalizes beyond the two pre-filled disfluent seeds"
